Rating_1,Rating_2,U_stat,p_value,p_bonferroni,Signifikan_Bonf,rank_biserial_r
1,2,1898.5,5.195558704648948e-47,5.1955587046489474e-46,Ya,0.9085412852875999
1,3,624.0,1.736814684041678e-40,1.736814684041678e-39,Ya,0.9366111336854936
1,4,720.0,9.482957572044561e-64,9.482957572044562e-63,Ya,0.9873634329340529
1,5,990.0,3.949213523388687e-35,3.949213523388687e-34,Ya,0.8878504672897196
2,3,7499.5,1.1493107175520683e-52,1.1493107175520684e-51,Ya,0.7899064320932317
2,4,8701.5,3.8120169520082635e-172,3.8120169520082634e-171,Ya,0.9578844199215915
2,5,11880.0,1.1260598778400746e-31,1.1260598778400746e-30,Ya,0.6288659793814433
3,4,9951.0,1.5019644011731608e-84,1.5019644011731608e-83,Ya,0.8984384568279241
3,5,13200.0,0.03540647498669741,0.3540647498669741,Tidak,0.13043478260869568
4,5,155945.5,7.221274310594207e-58,7.221274310594206e-57,Ya,-0.7748812064305022
